post_id,post_created,post_text,user_id,followers,friends,favourites,statuses,retweets,URLs,Mentions,Hashtags,label
818747541239963648,Tue Jan 10 09:13:20 +0000 2017,aleph dabbed,762433972273950725,20,0,0,2143,0,False,False,[],0
816286357236482048,Tue Jan 03 14:13:28 +0000 2017,who the fuck is jesus christ,762433972273950725,20,0,0,2143,1,False,False,[],0
809515869210636292,Thu Dec 15 21:49:57 +0000 2016,jobs jobs jobs trumpsgop how much lower can he go below,145626605,126,621,22,2111,0,False,True,[],0
812562272346222592,Sat Dec 24 07:35:17 +0000 2016,rabdom shit from my dad face with tears of joy what,29053403,465,189,80,31009,0,True,False,[],0
553201170446286850,Thu Jan 08 14:46:51 +0000 2015,winterspring brochures available on line at read more,30863895,426,482,1926,20330,1,True,True,['#constantcontact'],1
417374006786801664,Sun Dec 29 19:18:12 +0000 2013,i have no idea why but i just feel really down today,632291359,68,399,243,1480,0,False,False,[],1
810296532104859652,Sun Dec 18 01:32:02 +0000 2016,too bad the do not have a real opponent to play tonight,18831261,884,2389,8466,57269,0,False,False,"['#MiamiDolphins', '#NFL']",0
634259276270338048,Thu Aug 20 07:02:50 +0000 2015,no people amp no traffic where is everyone,1013187241,84,211,251,837,0,False,False,['#quietcambridge'],1
677915679769628672,Fri Dec 18 18:17:47 +0000 2015,how long are we going to keep the car thing up,20118423,288,988,280,6694,0,False,True,[],1
527324205889884161,Wed Oct 29 05:01:02 +0000 2014,shit i am jus tryna find a female worth loving,1052121847,177,687,3066,8133,0,False,False,[],1
665051590777290752,Fri Nov 13 06:20:29 +0000 2015,i can go from too cold to too hot too fast,377696171,1035,306,19320,32925,0,False,False,[],1
623914711051051009,Wed Jul 22 17:57:13 +0000 2015,what the fuck is this girl on there is a bond w the calf before slaughtered for veal and cow milked unnecessarily,49548465,677,1644,8375,12913,0,False,True,[],1
819446674443513857,Thu Jan 12 07:31:26 +0000 2017,went in to target for snow gloves and left with worth of things unamused face,29053403,465,189,80,31009,0,False,False,[],0
678814315541999616,Mon Dec 21 05:48:39 +0000 2015,had to dig through my blog for a kitty fetch video,20118423,288,988,280,6694,0,False,False,[],1
660351423280877568,Sat Oct 31 07:03:42 +0000 2015,me oh my god,3045320288,1505,2082,6920,13251,812,True,True,[],1
588765296049188865,Thu Apr 16 18:05:59 +0000 2015,urlorganizer tags depression treatments,1616997456,476,1235,0,21533,0,True,False,[],1
817069171666059264,Thu Jan 05 18:04:05 +0000 2017,studentservicesq,1458225506,1197,701,1156,61856,0,True,False,[],0
816494889965744128,Wed Jan 04 04:02:06 +0000 2017,albany powers,1458225506,1197,701,1156,61856,0,True,False,[],0
277513099056144384,Sat Dec 08 20:40:53 +0000 2012,imma take yo grandpas style imma take yo grandpas style no forreal ask your grandpa can i have his hand me downs,454311273,399,615,194,3289,0,False,False,['#Macklemore'],1
3604611226,Fri Aug 28 15:28:53 +0000 2009,any lebanese remedies for a splitting headache,60868031,1768,532,3,5720,0,True,False,[],1
817268748507693056,Fri Jan 06 07:17:08 +0000 2017,i bet you thought this was real clever but it was not,3249600438,235,185,24407,22302,1,False,True,[],0
817402559006527488,Fri Jan 06 16:08:51 +0000 2017,which of these two can memorize the entire names of pokemon i will pick that one,490044008,1849,561,8229,86352,0,True,False,[],0
660520497185226752,Sat Oct 31 18:15:33 +0000 2015,worsts habits for mental,3346224328,189,169,698,3694,0,True,False,['#health'],1
811055401173037056,Tue Dec 20 03:47:30 +0000 2016,my fantasy season comes down to this face with steam from nose face with steam from nose face with steam from nose,29053403,465,189,80,31009,0,True,False,[],0
816648716467716098,Wed Jan 04 14:13:21 +0000 2017,check to see what regulations make your family heathersafer regulations food safety travel safety,145626605,126,621,22,2111,1,True,True,[],0
817181123663036416,Fri Jan 06 01:28:57 +0000 2017,if i want lies i go to fox altright extra terrestrial cetera enough if hays maddow mcdonald amp reid leave msnbc i,145626605,126,621,22,2111,0,True,True,[],0
815141471506616320,Sat Dec 31 10:24:06 +0000 2016,tfw you cannot hide your jealousy towards a worldwide superstar empowering herself so you preach an unsafe rhetoric,3249600438,235,185,24407,22302,30664,True,True,[],0
809094251615322112,Wed Dec 14 17:54:36 +0000 2016,a thread of ways you can help the innocent people of if you cannot donate please retweet real time so people who can will see th,3249600438,235,185,24407,22302,26859,False,True,['#Aleppo'],0
587076334121259009,Sun Apr 12 02:14:40 +0000 2015,overcome depression your letters dance therapy for healthier lives jakarta post,1616997456,476,1235,0,21533,0,True,False,[],1
527524189755162628,Wed Oct 29 18:15:42 +0000 2014,i am about to spiteful ass dude,1052121847,177,687,3066,8133,0,False,False,[],1
